sentiment,review
1, From Potter's Field by Patricia Cornwell.: This was a very good book with excellent descriptions. It's a real page turner and keeps you wondering what's going to happen next. The best parts are at the very beggining and the end.
1," An Engrossing and Chilling Read: My first foray into the novels of Patricia Cornwell has left me impressed. The characters were intense and realistic. My only concern is that the ""evil"" Temple Gault at the end of the novel is as vague as he was in the beginning. Why did he decide to trail and give ""gifts"" to Dr. Scarpetta? Needless to say"
1, great book. i loved it! they mentioned a movie
1, Simply Awesome!: This was only my first Cornwell novel and I'm hooked! In the past few months I have managed to collect all of her books and I can't wait to dive into them! This summer will be a suspensful one for Scarpetta and I.
0, Predictable & has a lame ending: I have read all of the Scarpetta novels & this is not the worst (that would be Cause of Death) but rt. up there. I thought the story began well enough
1," Black Knight C2C Heat Squash Racquet: Great racquet! But I'm a power hitter I have no power Generating Difficulty With This racquet. My style is to try to volleyball and everything I've found this racquet to well balanced and maneuvered. I like the factory grip although with distinct ridges Others prefer a smooth grip May - give the factory grip on chance and you May Come to like it. The ""sale"" prices are right for a high About end racquet"
0, A historical gem whose title obscures its intent: Started laughing in the second chapter....enjoyed the book after I realized that I wasn't going to learn anything new. It's obviously a miracle that we survived for the 65 years since it was first published.And seeing that the pending insolvency of the US was as loudly shouted in the 40's as it is now was worth the price. This book had quotes that would shame both modern day political extremes in the US.Kudos to whoever owns the copyright --- now there's economics in action.
0, Vastly overrated work of fiction: I was sorely disappointed in this vapid and smarmy demogoguery. Sure
1, sergeant frosts lonely hearts club band: edith has created a venue for herself to exorcise melancholic memories with painful melodies. there are no disguises on this collection. lonesome guitars and medicinal piano radiate the mood of broken spirits. she writes all her own songs. these ballads are definite reminders of those unbearable moments we all have to live. they are all gray sky
1, Great Camera: I recently purchased this camera and I'm very satisfied with it. I find the quality of the pictures with this camera as good if not better than anything else without going to digital. It is very comfortable to hold and the controls are easy to use. I highly reccomend this product to anyone looking for a top quality camera at an affordable price. Nice going Sony!
0, Had to return it: The sizing is perfect and a medium fits just right. I am 5'2 size 4 137 lbs before baby and i gained about 35 lbs during pregnancy
0, Broke the 2nd time I wore it
1, The amazing squeem: I love love love the squeem!!! The before and after pictures are definitely real!!! You can immediately tell the difference when you put it on it definitely improves your posture
1, Great Product: A friend recommended this product to flatten the tummy for great look in a dress. I brought a medium according to the measurement guide lines but I needed a small. It was extremely difficult to put on so I needed assistance. Once it was on I was still able to contract my core
1, I recommend ordering a size or 2 larger than your regular size.: I ordered the Squeem waist shaper in a size small...my general size is 4-6
0, WASTE OF MONEY: The inner metal rods keep poking through: The squeem is a great idea but the construction is not the best. While the product compresses your stomach
0, CAUSES BRUISING AND BLISTERS IF WORN TOO LONG: I ordered this product to slim down my stomach. I was looking for something I could wear all day with my jeans as well as underneath my dresses. I wore the squeem to work occasionally and then I would take it off when I got home. When I would take it off
0, Not happy: I was really unhappy with this. I followed what others said and ordered based on my prepregnancy size. It was WAY too small at 7 weeks post-pardum. I'm ten weeks post-pardum and may try it again but it was a real self-esteem crusher initially. I'm a size 0 pre-pregnancy and so I thought it was fair to order the XS but I guess not.
0, nice product: My wife loves it but we unfortunately perchaced the wrong size. She made a coment about the sizing chart being in dress sizes and she picked the size she is and we received it and the apparel was way too small. We have been meaning to exchange it but its tough to get time being as we have new born twins. That's why she wanted the apparel. She was really excited to receive the part and was disappointed when it didn't fit.
1, Does the job: I have been looking for something to hold in my stomach that wasn't elastic based. Found this item and have to say I am pretty pleased. The hooks do take a while
0, conspiracy theorist: The author is very likely a Kurdish nationalist
0, Another disappointment from Higgins: This novella (stretched to 271 pages by wide margins and double-spaced lines) reads like a screenplay treatment. There is very little character development
0, 1
1, Good matt nude lipstick: It's got a nice warm scent of vanilla-like smell. Texture is creamy. Meadow Sweet is a nice nude color. Can't apply too much or else it'll look a bit dry.
1, I would sell it -- book complete with dust cover. Excellent: West is only fairly judged by the breadth of his work. He has a special view of human nature and all its weaknesses.
1, A welcomed change from the frozen plains of Europe: A refreshing
0, where does the Novel begin?: I found it preachy and long and got.very bored to claw my way through the very wordy prologue.Then tried to find the.actual novelFinally gave up!!!
0," Avoid it.: The abridged version of this book would read as so:""Sin is inevitable. So make the best of bad situations. And oh by the way... women are strong.""There ya go. Nuff said. I don't need to read obnoxiously long sentences lamenting on one sentiment for the entire 160 odd pages or so of this travesty. The entire book is just one big complaint. From the girl who commits adultery. She laments about it for the whole stinking book and puts up with some obnoxious kid the for whole thing as well. Painfully thick language"
0, ok...: this book was recommend 2 me from my neighbor. but i dont think that dis is dat gud of a book 2 recommend... i didnt like it 2 much but...
1, The Scarlet Letter: I really enjoyed this book. It shows the judgmental tendencies in our human race and how one woman strove to live a life of service to others to gain redemption for her mistake. Can't go wrong with the classics.
0, This edition is not complete: This review refers to ISBN 978-1613823613. With no explanation or indication that it is doing so
1, Creepy: The creepiest book I've ever read! It's a creepy mystery/romance all in one creepy book! I would read it again lol
0, A book for those with time on their hands: If this book is so great
0, Painful: This book has to be one of the most tedious works of literature ever written. Hawthorne is a great writer
1, Great novel: The Scarlet Letter by Nathaniel Hawthorne is a great novel. It takes place in Boston
0, Horrible reader: i couldn't listen to this book because the women reading it has such a screechy horrible voice so i can give no review of the actual book but whatever you do try to find a version with a different reader if you're into audio books
0, Mistake?: I ordered the Penguin edition for this book five weeks before my grad class started. It was very important to have the correct edition for proper pagination. I PAID for the Penguin edition. I GOT the $2 Dover Thrift edition three weeks later. When I called the distributor
1," The ""Scarlet"" Letter: Much to my amazement"
1, The Scarlet Letter a must read for any American: The best book that I have ever been assigned to read for school by far. The way in which Hawthorne captures the shame that Hetser 
0, The Scarlet Letter: A soap opera: Although this book
1, This book is Great!: One might notice that many of the negative reviews of this book contain horrible grammer and multiple spelling errors. Although I respect those who disliked The Scarlet Letter
0, I had to read it...: I had to read this book for school. I did not like it. I'm not sure what the point is of this story; several people hae told me what they think it is but I dont agree and they dont agree with each other.
1, Possibly the funniest movie ever made.: It starts off a bit slow
0, same problems as munchkin version: Ditto to other complaints - won't separate easily- either by unscrewing or prizing. Cheap
1, Sassy Baby Warming Dish. Interesting concept.: We tried the Baby warming dish. We found that for our 1 year old it was pretty small
0, Unreadable!: As good as this book may be
0, Used for circuits project: I used the generator for a circuits project and it works pretty well with little resistance
0, Two Tedious Hours: The early success of Adam Sandler's films gave him this mistaken impression that he was an actor and a writer. This film proves he is neither - and a grating voice-over guy to boot. I enjoyed Happy Gilmore and to a much lesser degree
0, one of the worst movies of 2002: god!!! what a dumb movie. the fact that Adam Sandler can do this is just wrong....never lives up to what if true and it down right smells like cheese....sick and demented jokes dont help its premise...though Whitey gets a few lifes...nicely animated but a poor outcome. think of this as a guide beofer watching it...Jon Lovitz
1, Fantastic: A movie that makes you feel a lot better about the holidays. Although not a childish movie
0, very disappointing: The movie is vulgar and not meant for children. It is a typical Adam Sandler movie
0, Sandler Strikes Out: 8 Crazy Nights might have been a sweet film with a good message for kids
0, Not the worst
0, Been waiting for a foreign lauguage AOL CD?: I have
1," It Rises above the ""Fluff"" Books: The first thing that struck me was that it was easy to read. The print was readable and the illustrations were helpful. I did also find some grammatical errors as an earlier review said. But mostly it was very specific and practical. The chapters most helpful were on ""emotional states"" and music. It's hard to find a book on this subject that's across the board"
1, Itten The Elements of Color: I was so very pleased to review the art book which arrived in pristine condition. I would have rated it in Excellent condition
1, great IMO: First of all
1, I wish...: ...i had never heard Fair to Midland before hearing this music but cant help making comparisons. It is still wonderful music and Ill explore it further...
1, Good follow-up to El Cielo.: A bit of a change this time for Dredg
0, WOW!: This book really bothers me. If you are a parent trying to deal with the daily struggles of having a child with a disability
1, 80s Hard Rock: One of the 80s rock bands that capture my ears!!! It's pity that they are almost retiring soon...
0, Low class effort by High Class Band: This material represents why the 80's died
1, Good Quality Cell Phone Holder: Contrary to other review
1, Loved it!: I LOVE Christmas movies and these are some of my favorites! I always bring them out when I am decorating and start enjoying the holidays!
1, Charlie Brown Christmas was a Great Christmas Gift!: I gave this movie to a co-worker who loves all the Charlie Brown classics that are shown on TV. She was thrilled when she opened it!
1, There is no way anyone with a soul could ever give this a negative review....: This is one of the sweetest
1," I ought to slug those R movie loving critics! ""They don't know entertainment"" as Krusty would say: I do love ""Charlie Brown's Christmas"""
1, Charlie Brown Christmas: One of my favorite Christmas shows of all time! Great service from the provider.
1, Proof that good things are built to last: When Mr. Schulz and Bill Melendez decided to launch this half-hour special for TV there were many things against the odds: The music
1, great Christmas gift: This is a classic Christmas tale and was a wonderful gift. I bought it for my friend and she said she will watch it every year.
1, Yahoo for Charlie Brown: Being able to watch something like A Charlie Brown Christmas whenever I want is so soothing to the soul. Especially since I get really busy around the holidays and can't always catch it on TV.
1, The Best Present Of All: My children are a little old (age-wise) for this
1, Classic: Watched this with my two year old daughter for the first time this Christmas. It was nice to watch a classic movie that I grew up watching as a kid myself
0, Not a real Rammstein album.: Bootleg collection of b-sides
0, After a few months- broken: This charger worked fine for a few months
1, Works great
1, This is a good product!: When my Mac Powerbook G4's cord started going on the fritz a year and a half after I had gotten my laptop
1, Quite Satisfactory: This product works well
1, Great product at a great price: A replacement adapter for my 4-year-old G4 Powerbook was going to cost $80 from Apple. The Macally adapter is less than half the price
1, Excellent Item!: I miss the lighted ring telling you that the charger is charging
0, Off and on: Its hard to find these types of chargers since Mac switched to the magnetic type. Its hit and miss with the working. My battery indicator switches from charging to not in a blinking fashion.
0, Cheap
1, So much better than the apple version!: I love it
1, Good product at reasonable price: Though the output of this power supply is lower than the Apple supply
0," If you're tempted to throw away $30....: I bought this charger near the end of May of this year and it stopped working about 2 weeks ago. It is not the same charger as in the picture with the gray cord. It looks just like most of the other generic chargers available on Amazon. It charges quite slowly (ibook g4 14""). I have a brand new APPLE brand battery"
0, Plug DOESN'T work with the iBook G4: This product is advertised to work with the iBook G4
0, Stopped Working Day 3: Out of the difficult to open package
1, Another Binchy Great: This book takes a typical family
1, TU VIDA JAMAS VOLVERA A SER LA MISMA: Despues de leer este maravilloso libro mi manera de ver la vida es muy diferente
1," Deep view of what counts for run and growing an organization: I will say that the concept this book adds of ""playing with future"" is the utmost importance for many of us who were tough by experience to survive and keep it running. The most important thing about work is to get it done...if not...it equals all us..we all lose That does not help a lot any organization. This books deals about how to get it done self sustained and fruitfull"
0, book only
1, Thomas connector tracks: The Thomas wooden track connector pieces is just what was needed when setting up different designs. Sometimes when setting up a new design my 4 year old grandson whould end up with no way to connect the finish. These pieces have helped with that problem.
0, Plain and Simple: A Journey to the Amish: This is a very disapointing book. The author makes the complexe Amish community that forgave the muders of their young daughters at Nickle Mine school into one diminsional Disney characters. There is no tension
0, Disturbing.: If you are looking for a book on Amish theology
0, Not Very good: I dont advise buying this grider
0, Cannot adjust for coarseness: The description says you can adjust for coarseness of the salt/pepper
1, Solid Effort...But Missing a Spark: Statheads and fantasy players know that the value of this book is to be found in its statistics and projections for future performances. Anyone playing in a long-term keeper league will benefit by keeping this near them on draft day as they look for prospects to take flyers on. The stats in this book are as good as ever
1, My Girl Likes It: My two and half years old girl likes it so much
1, Still a great book: The Winds of light books are great! This one is no exception
0, I could have spent my money better: This book did not move me at all. The plot is unrealistic and the characters are shallow; they do not seem like real people at all.
1, Terrific Reference for Identifying Butterflies: Is that a monarch
1, Climalite works as intended: More visually interesting than plain white
1, A Man of Reason: At the height of The Age of Reason
1, I was there: I liked the way Butler filled in the history of the Queen Mary andQueen Elizabeth.He also told a very good clear picture of lifewe lived aboard ship. On page 92 second phargaph tells of a March1945 crossing . I was on that passage and well remember hearingthe depth charges explodimg.I still have my white tag and cabinwith number on D deck.To verify my memory I checked my discharge and called our coplit yes he remembered hearing the depth charges.This tolded of the vital roll these two great ships played inwinning of the war.Many of these things where new to me and I was there.
1, Course Book: Well it is only for my course called fundamnetals of socal research but its very expensive indeed. Just wanted the first to make a comment thats all.
1, Leadership Made Spiritual: Maxwell succeeds in creating a new way to experience leadership principles and the bible. I have used this as a guide for my youth group's leadership program (highshcool juniors and seniors) and it has been perfect. This is an excellent gift idea for anyone who has interest in leadership and believes their christain faith is critical to their approach.
1," Absolutely incredible: I was so happy with Dolly's ""Hungry Again"
1, Has-Been? THINK AGAIN!: As a child
0, Band saves CD: As usual
1, Almost perfect CD: The only reason I am giving this CD 4 stars instead of 5
1, The Castle in the Attic: I would recommend this book to any kids who love a great adventure. I was on the edge of my seat the whole way through the book. I especially loved the Silver Knight and how he became friends with William. Go get this book!
1, non stop adventure: This was a great and is very magical. A young boy's nanny is leaving and gives him a small castal as a going away present but it turns out that the night that came w/the castal is a real night that has been shrunken and turned to stone. The young boy breaks the spell that an evil sorcerer has put on the night and goes back to his time to stop the wrong that the sorcerer is doing. Will he stop the evil sorcerer or will the evil sorcerer stop him
0, worst book in the world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!: This was the worst book I have ever read in my entire life! I was forced to read it for school. It was complicated and very boring. I would not recommend this book to anyone!! Please don't waste your time and money to read this book!! Read something else!!
1, One of my favorites as a kid: I loved this book when I was about eight years old
1, excellent: Good price
1, Best witch book i've ever read!!!: Spellbinder was the 1st Night World book I have ever read.I recomended this book to ALL my friends
0, Maybe next time...: I
1, To many issues: The story is very interesting and the action and enemies are awesome
0, Lara should have remained in the tomb: I was so looking forward to this game being released
0, Angel of darkness is correct: This game is the angel of darkness - THe control system is impossible - The menu screens are ridiculous and bulky to manage - I have played all the tomb raider games - This one is near to unplayable - This thing went straight to EBAY - save your money for something good - THE TR people need to do something fresh with this character like send her to space or something - jeez - the franchise is getting old and stale due to lack of innovation and change.
0, Great Work
1, this will interest children in insects: This would be a great book for use in elementary school science classes. It has a wonderful layout
0, Good
0, a terrible product: this is not well manufactured i recieved it in a timely manner. but the product is poorly constructed my husbandand i put it together easily but the cotter key to hold on the wheels are made of flimsy material
0, BUYER BEWARE: This is the biggest waste of money I have spent in a long time. It didn't even make it through one bag of leaves. I would demand my money back but it would cost too much to send back. Can't believe Amazon still has this piece of trash in their online shopping department. Take my advice and save your money!!!!!I would have given it no stars but didn't have that option. In my opinion it rates 00000 stars....
0, Didactic melodrama: I have read enough to know when I'm being preached to
0, Well
0, Software is Horrible!: This software is not user friendly. The samples don't help. I would imagine that if I sat down for a few hundred hours I could figure out were the dots go. The whole interface just doesn't make any sense. It's very time consuming. Total waste of 30 dollars at the Apple store.
0," Biography of Wright and his works: Easy reading book which I would recommend for those who want a sort of ""executive summary"" of the story behind Wright and his works. Having said this"
1, The Top Ten List for Christians byJames W. Moore: A bit simplistic at times
1, Live it: Still have this works great my food is kept fresh inside the dome
0, elem diff e-q's: While the shipping was AMAZING
1, This is really cool!: This is a really cool record to own. My Favorite Muffs albums are Happy Birthday To Me and Alert Today Alive Tomorrow so I like their later material. This Hambuger is a lot of early stuff and some later but I really like it. I think its cronilogical and its interesting to hear how they've improved with time. Good cd!
0, Very Disappointing.: I was hoping that this band would have evolved in some or any degree over the past decade
1, A carefully constructed read.: This book is structured such that on all the even pages there are a short pithy quotes that summarize the textaul body of the book on the odd pages. The book is written in the style of a manual so that you can dip into it at any point with no need to refer to material that came before.The basic thesis of the book is if you want to enjoy life you have to place one hand on the tiller and steer yourself towards the people
0, Poor quality and high price... are these knock-offs?: I ordered two in Cowboy Slim Cut 33x34. I already had some Wranglers. The waist was way too small
1, Almost perfect: Stockings are not easy to find where I live in Northern California and I cannot stand to wear panty hose. I decided to try these stockings that was recommended by the site I used to find a garter belt. I really like the stockings. They are darker black than the picture depicts them. I prefer off-black. The lace top is a little tight with not too much stretch
0," Not Stainless: These may look like brushed stainless steel but they are not. The magnet that is glued to the back of these is about 3/8"" and will not hold anything heavier than a very light potholder. I tried hanging an apron on it and it fell to the bottom of the refrigerator. If you are crafty and can remove this tiny magnet and attach a larger"
1, The meaning of God
0, What a disappointment!: I am a big Belva Plain fan and have always enjoyed her books. After the Fire is a disappointing read. What bothered me the most is the character of Hyacinth-what a weak and stupid woman! She is not believable at all. Any mother will fight to the end for her children. I kept hoping she would snap out of it
0, You get what you pay for.: I was expecting a bigger set so was surprised at how small it was. I should have spent more for a better set
0, junk!: Don't buy this! Didn't even come with all the screws. You could build a better set with twigs. Skip it.
1, fireplace tool set: Good product. Got it in a timely manner. Does exactly what it is supposed to do. Not too expensive and just as good as the rest of the tools that are over priced. The tools work great and have been used a lot this winter.
0, Failed to Work: I was unable to get this game to work in Windows Vista. I inquired about a patch but did not receive a response.
1, Long Hot Summer: Sweet Dream Baby by Sterling WatsonOn a sultry summer river
0, Mathematical nonsense: Mathematically speaking
0, Boring ...: I bought the book because I read the review and it look interesting and funny. But after the first pages
0, Stuck With You: I didn't really like the book. If the author didn't write the sex portion of the book
1, None: Awesome.... simply awesome. I couldn't put this down and laughed
1, Witty and clever.: This was a really fun read. The dialogue was witty and clever. I really enjoyed the progression of the romance. It probably could have been tied up a little sooner. The last 10th of the book kind of drags out the story with storyline that should have been introduced sooner or ended before it was introduced. I do wish more of Nick and Rachel's storyline had been included
1, Glorify Thy Name w/ Kent Henry: Great! This is a Kent Henry praise and worship classic - you can not go wrong with this one. Do not sleep on Kent Henry. I've mentioned in previous reviews that he is one of my favorite praise and worship leaders. This man is gifted
0, lousy
0, Still yet to recieve: I am still yet to receive these items that I purchased 4 months ago. I've tried everything to track where they might be but no success!!!
1, Big things in small package: When I purchased this small hardcover book
0, broken :(: The base and frame were not completely attached. Fixed with a little glue. My friend loved it after that.
0," Lousy RF range; ON worked from further away than OFF: The range of use was practically useless. I could get about 10 - 15 feet of range for the ""ON"" button"
0, Left me feeling wanting.........: Somehow
1, Gun Digest 1911 Review: This was purchased as a Christmas gift. Excellent tutorial and very entertaining. The detailed discriptions and the pictures were informative. I spoke with the recipient of the gift after Christmas and he agreed. I really appreciate Amazon's speedy service.
0, THIS CD SUCKX!!!!!!!!!!!!!!: I WAS LISTENING TO THIS CD AT MY FRIENDS HOUSE
1, Nice but Sony must give us more info: This is a very nice tripod
1, LIvely Experimental Synthesizer Jazz with Global Fusion: This CD has instrumental experimental Jazz and near trance synthesizer pieces. Some of the rhythm patterns have a Latin flavor and feel very danceable. Others remind me of chill out lounge music. A few selections have some subdued vocals that are more part of the background rather than the foreground. I enjoyed the selections and liked working with them in the background. I have not heard the other volumes in the series and so I cannot compare them with each other. My only reservations about this collection is that the mood between selections is not always consistent
1, CUT IT UP DEF: IT'S OLD SCHOOL JAMS!!! I HAVE SEARCHED AND SEARCHED FOR THIS CD FOR THE LONGEST. I HAVE FINALLY FOUND IT!!! NOW I HAVE TO PURCHASE IT.
0, I do not recommend this vacuum: We bought this Emer Galilieo vacuum cleaner for about $400 more than one year ago. The retractable cord broke after a short time. We had to send the vacuum to NJ to get it repaired by using the warranty. After a month they sent it back with the same problem and the on-off button was broken as well! I called the customer service and asked for refund or replacement and they were kind enough to replace the vacuum with a new one. This vacuum is very powerful
0, More Fiction than fact: Donal Cline clearly demonstrates his inability to distinguish fact from fiction. I find his book to be biased (towards the Murphy-Dolan faction)
0, waste of time and money!!!!!!!!!!!!!: The Squiggler fell apart at second use
1, CO alarm: Easy product to install. No fuss. Plug it in. It is out of sight behind a couch. I am satisfied.j.
1, Easy as it can be.: I bought the First Alert CO600 for two reasons. I own a rental unit and California requires a carbon monoxide alarm in each one. The second reason is the price. I ordered this unit and had it delivered to my rental unit. The lady who rents from me is not mechanically inclined at all
0," ""THE ROCKETS RED GLARE"" ???: This over-priced pain in ""the sitting area"" has an always-on"
1," Absolutely great tripod for movie camera: excellent and cheap...panning acts almost like the $400+ tripods for movie cameras...and the controls in the handle add to the convenience and control of ""shaky"" movement...sold...stable...tall...worth the price"
1, A written masterpiece: I first read this book in 1984/85 while in high school and I have bought copies for several friends in the last 15 years. I plan on giving this book as a gift to everyone for Xmas with a basket of white and yellow candles. I read this book at least 2 times a year for inspiration and guidance. Next to the Bible
0, Love Jerry and Dean
0, Crap
1, Dense with knowledge: This film is filled with informative interviews which is great. This film is also subtitled. Not so great. Definately worth an afternoon. Watch this film with intention because it is filled with teachings
1," I'd give it 6+ stars if I could!: The cover blurb on this book says it all: ""For office slaves"
1, An American Treasure: Charles Brown is an American treasure. His blues piano stylings are the perfect compliment to his unmistakable vocals. The selections on this cd are typical of the high quality music that CB has produced his entire life. Buy this cd. Buy any cd by Charles Brown. You won't regret it.
0, not finding comfort in food: I have read this book in search of a way to view my body and my self more positively. However
1, Typical Thomas video
0, Inexpensive but poor quality: The set was shipped with a carrying case that was covered in an oil-like substance and either the oil or the case itself smelled horrendous. Also
0, Dull and dirty: Well I don't usually write reviews but I feel the need with this product.1rst. They were caked with mud ...what's up with this?2nd. They are dullI guess they can be sharpened ..we'll see
1, Deserving of the Pulitzer it won; but don't be scared by it.: Remnick won the Pulitzer for this unwrapping of 70 plus years of communist control of a collection of nations. In depth
1," ""Like this"" by Technotronic featuring Monday Midnite: Like this is breath of fresh air in the dance music world filled with meaningless Technobeat with no specific direction. This song brought back the good memories of the 70's by using a sample of the classic ""clean up the ghetto"". Monday Midnite's freestyle story about his experience at a London underground discotheque is unique and his succintly clear and distinctive accent is rare and I like it a lot. Plus"
0, A Disappointing Misrepresentation: Baking With Julia is an AMAZING Book.It is an exceptionally well written resource that is an accurate reflection of the PBS televised series of same name.When I stumbled onto the option to order a DVD [suposedly of the full series] on the book's writter
1, A peek inside the process.: First thing's first
1, As good as the guy's new book on Horatio Nelson.: I read Antony Beevor which got me hooked on Stalingrad
1, a worthy addition to WW II Eastern Front histories: I've read a tremendous amount on the subject of WW II history
